Algorithm : Kruskal's MST
MST edges:
9 31 -10
41 67 -10
2 5 -10
4 6 -10
70 94 -10
60 61 -10
14 58 -10
57 94 -9
26 64 -9
0 95 -9
79 96 -9
31 54 -8
7 58 -8
59 68 -8
14 46 -8
36 62 -8
6 53 -8
23 42 -8
68 70 -7
2 19 -7
55 64 -7
48 61 -7
17 25 -7
38 44 -7
10 15 -6
2 61 -6
30 34 -6
52 63 -6
81 96 -6
81 90 -6
80 86 -5
41 64 -5
20 99 -5
33 38 -4
1 39 -4
32 55 -4
5 39 -3
17 76 -2
24 59 -2
10 18 -2
20 49 -2
2 44 -2
65 71 -2
9 83 -1
75 85 -1
66 87 -1
59 89 -1
57 67 -1
7 12 0
88 90 0
20 26 0
16 57 0
37 89 0
12 27 1
70 71 2
10 34 2
21 80 2
35 42 3
44 68 3
44 82 3
18 40 3
41 53 3
25 85 4
42 96 4
33 92 5
0 3 5
28 36 6
1 72 6
13 20 6
21 77 6
32 35 6
5 18 7
7 11 7
56 74 8
18 43 8
52 89 9
59 78 9
86 95 9
0 33 10
5 22 10
27 74 11
48 50 12
0 73 12
40 97 12
28 84 13
12 83 13
12 39 13
17 65 15
28 71 15
22 29 18
11 47 19
1 8 19
5 45 21
15 93 22
62 69 25
1 98 26
2 91 29
87 97 30
51 81 31
Total MST weight: 216
Execution time : 0.021416 ms
Algorithm : Prim's MST
MST edges:
0 95 -9
0 3 5
95 86 9
86 80 -5
80 21 2
21 77 6
0 33 10
33 38 -4
38 44 -7
44 2 -2
2 5 -10
2 19 -7
2 61 -6
61 60 -10
61 48 -7
5 39 -3
39 1 -4
44 68 3
68 59 -8
68 70 -7
70 94 -10
94 57 -9
59 24 -2
57 67 -1
67 41 -10
41 64 -5
64 26 -9
64 55 -7
55 32 -4
59 89 -1
57 16 0
26 20 0
20 99 -5
20 49 -2
89 37 0
70 71 2
71 65 -2
41 53 3
53 6 -8
6 4 -10
44 82 3
33 92 5
20 13 6
32 35 6
35 42 3
42 23 -8
42 96 4
96 79 -9
96 81 -6
81 90 -6
90 88 0
1 72 6
5 18 7
18 10 -2
10 15 -6
10 34 2
34 30 -6
18 40 3
18 43 8
89 52 9
52 63 -6
59 78 9
5 22 10
48 50 12
0 73 12
40 97 12
39 12 13
12 7 0
7 58 -8
58 14 -10
14 46 -8
12 27 1
7 11 7
27 74 11
74 56 8
12 83 13
83 9 -1
9 31 -10
31 54 -8
65 17 15
17 25 -7
17 76 -2
25 85 4
85 75 -1
71 28 15
28 36 6
36 62 -8
28 84 13
22 29 18
1 8 19
11 47 19
5 45 21
15 93 22
62 69 25
1 98 26
2 91 29
97 87 30
87 66 -1
81 51 31
Total MST weight: 216
Execution time : 0.019977 ms
Equal total weight: Yes
