Algorithm : Kruskal's MST
MST edges:
21402 79186 -10
82760 94935 -10
33911 60335 -10
2653 6518 -10
33892 66698 -10
28172 71040 -10
5609 55173 -10
5616 77928 -10
18351 18564 -10
40267 89120 -10
46008 92860 -10
2633 10785 -10
11256 34060 -10
46006 76143 -10
5613 74213 -10
82592 87947 -10
14595 62496 -10
46003 47340 -10
33982 68875 -10
8777 79492 -10
55209 65253 -10
55090 75137 -10
14602 88101 -10
82632 88307 -10
55095 98994 -10
33962 78790 -10
2638 37034 -10
33962 67047 -10
5605 61926 -10
24088 76643 -10
33945 34865 -10
5596 92511 -10
67250 99535 -10
45991 90590 -10
82943 83605 -10
28207 50649 -10
40352 75757 -10
45899 48581 -10
2669 7887 -10
5546 29680 -10
18287 95427 -10
55287 58667 -10
591 74813 -10
5544 48298 -10
24053 43372 -10
67088 69224 -10
18283 20180 -10
5537 52171 -10
55278 78226 -10
45885 69477 -10
11208 72554 -10
2674 38294 -10
14679 55335 -10
45881 98089 -10
55308 60537 -10
5534 58735 -10
55315 79539 -10
18277 68740 -10
28225 68524 -10
14685 99751 -10
8831 74661 -10
14686 19298 -10
2663 8835 -10
18311 55688 -10
24072 25203 -10
45929 65814 -10
45928 62534 -10
55233 79223 -10
21412 75775 -10
2661 4180 -10
55244 67591 -10
45925 63488 -10
24065 64428 -10
18301 85740 -10
14661 14801 -10
45923 94928 -10
2509 16881 -10
21414 43051 -10
67130 90791 -10
11225 19229 -10
67127 97588 -10
67127 97960 -10
2665 6664 -10
2665 12374 -10
28201 57870 -10
21422 22891 -10
45908 88189 -10
55278 65133 -10
40350 76954 -10
53881 66840 -10
767 1243 -10
27572 73002 -10
39703 59718 -10
34749 74398 -10
2361 69681 -10
68856 76438 -10
6009 97843 -10
765 9120 -10
39708 98363 -10
14175 40652 -10
68853 86102 -10
24432 59543 -10
68850 72090 -10
24436 31463 -10
11525 55611 -10
39716 55643 -10
39717 85958 -10
34735 58537 -10
53889 65943 -10
53892 73848 -10
6000 22952 -10
27590 46468 -10
18726 74877 -10
18726 49537 -10
760 19042 -10
8507 76397 -10
39723 49473 -10
27560 75068 -10
68942 97223 -10
80671 99480 -10
2347 11135 -10
27550 33449 -10
11543 51674 -10
6024 62155 -10
8490 60221 -10
68913 77424 -10
34774 78853 -10
34774 47852 -10
14158 34380 -10
18748 80277 -10
11541 39100 -10
2370 24289 -10
80719 92286 -10
24442 29114 -10
39683 43880 -10
80724 87769 -10
68891 95913 -10
8495 89164 -10
27566 91965 -10
34760 46955 -10
11536 18590 -10
27568 72964 -10
18743 91827 -10
39701 65010 -10
6013 67397 -10
11500 28403 -10
2381 77821 -10
80908 92353 -10
46652 80679 -10
68768 95670 -10
8523 38083 -10
34661 42657 -10
5972 31816 -10
27624 88668 -10
14219 37000 -10
5965 30930 -10
54004 56676 -10
2393 86862 -10
46639 48823 -10
39738 56393 -10
27636 37365 -10
745 2028 -10
54018 89352 -10
54026 85197 -10
24394 61025 -10
2397 87619 -10
5953 52410 -10
27650 87320 -10
5952 32832 -10
27651 79533 -10
24391 51700 -10
39775 55735 -10
46614 73862 -10
34696 68379 -10
14188 22011 -10
24422 72670 -10
68807 93538 -10
39729 66475 -10
8511 57360 -10
18722 39492 -10
39730 41982 -10
53930 88495 -10
757 2034 -10
46670 54545 -10
53933 54666 -10
27601 30474 -10
18715 48915 -10
34784 73783 -10
18711 99487 -10
14203 82553 -10
5984 89493 -10
8517 53860 -10
80889 93976 -10
18709 93741 -10
753 17105 -10
24410 35488 -10
53954 62897 -10
53955 99215 -10
53955 82298 -10
68776 78851 -10
6087 79461 -10
34915 82902 -10
34911 73022 -10
69147 78047 -10
799 52412 -10
14085 64058 -10
6091 84676 -10
53631 89072 -10
799 2264 -10
8447 15574 -10
18810 60824 -10
80468 87904 -10
18809 71894 -10
24489 53841 -10
2302 12976 -10
6086 12811 -10
6085 66120 -10
11585 14471 -10
24487 30518 -10
53664 71099 -10
46828 95017 -10
14096 14520 -10
14096 67519 -10
11582 29177 -10
11582 48016 -10
46818 86204 -10
69080 92219 -10
53676 80179 -10
69242 96068 -10
6128 56406 -10
46901 91615 -10
34985 97723 -10
24515 89274 -10
2281 4489 -10
53521 79699 -10
14047 26915 -10
53527 82147 -10
53528 82388 -10
80388 91215 -10
2286 95187 -10
46892 52864 -10
21050 55883 -10
53683 54589 -10
34961 59705 -10
80397 89466 -10
18837 59596 -10
53572 68020 -10
27443 69244 -10
34937 61556 -10
34937 81772 -10
69199 87008 -10
69194 96375 -10
69192 78459 -10
69164 74032 -10
27456 88345 -10
2301 41007 -10
53806 94632 -10
18775 67031 -10
24455 88923 -10
14125 44823 -10
53772 74134 -10
80616 90331 -10
11551 38020 -10
780 99864 -10
80619 95633 -10
80621 98623 -10
53786 87552 -10
80623 86905 -10
46754 86166 -10
53791 75686 -10
53760 77063 -10
68974 82843 -10
34803 94935 -10
68963 77860 -10
53815 56682 -10
11550 42214 -10
2342 21344 -10
53824 92079 -10
6029 8190 -10
18757 76842 -10
53829 54105 -10
775 69160 -10
39664 48926 -10
68943 81137 -10
787 69343 -10
21073 80777 -10
8462 64185 -10
2320 4336 -10
69067 75892 -10
21076 49158 -10
6072 10966 -10
53698 74046 -10
80560 83646 -10
46795 54540 -10
80563 87085 -10
80564 94020 -10
53710 82558 -10
69055 75489 -10
21155 35027 -10
11560 27741 -10
14110 44476 -10
39632 47625 -10
8471 26669 -10
46768 62262 -10
69041 89449 -10
46766 99761 -10
53719 73287 -10
34841 59401 -10
14117 31175 -10
2328 38954 -10
21084 70246 -10
54356 83004 -10
34456 36142 -10
24291 42287 -10
34454 96053 -10
68263 89919 -10
14334 23750 -10
39938 51548 -10
81499 92596 -10
8618 43350 -10
46429 61871 -10
46428 92809 -10
54350 75124 -10
34437 73698 -10
68235 76275 -10
34456 53606 -10
2479 63265 -10
68216 69584 -10
14347 75006 -10
8623 29278 -10
5833 34188 -10
54377 74275 -10
46411 70890 -10
24282 37086 -10
46410 78004 -10
5827 37488 -10
27818 73207 -10
