Algorithm : Kruskal's MST
MST edges:
17779 47724 -10
17761 31285 -10
24108 40985 -10
2208 17313 -10
17766 20176 -10
24102 45062 -10
8029 19142 -10
2207 19502 -10
14537 43107 -10
34612 35727 -10
352 34244 -10
2204 16522 -10
8041 30028 -10
17776 36326 -10
8058 10530 -10
14546 19985 -10
24053 43372 -10
17779 20474 -10
2193 4694 -10
34661 42657 -10
2187 5446 -10
360 13900 -10
2180 5550 -10
8117 42200 -10
2178 19324 -10
2178 34226 -10
14491 19056 -10
23968 48484 -10
8137 22002 -10
2170 2172 -10
34546 43453 -10
7929 43968 -10
2239 9844 -10
17716 40287 -10
2235 42463 -10
2232 2945 -10
17717 23114 -10
14594 16581 -10
24202 41355 -10
34516 37461 -10
34520 44724 -10
24195 32416 -10
7964 27353 -10
34545 34818 -10
7971 33159 -10
14484 34204 -10
24169 40248 -10
2222 30524 -10
7981 37011 -10
7984 27845 -10
7989 8907 -10
7994 20865 -10
14563 49207 -10
8001 31286 -10
24134 39907 -10
14559 17529 -10
24132 40141 -10
14549 34224 -10
2210 41253 -10
8292 13753 -10
23824 43486 -10
14429 37640 -10
2136 4245 -10
34824 40532 -10
2133 11532 -10
23810 24471 -10
8264 17616 -10
2125 2321 -10
23791 43325 -10
23787 36266 -10
8283 8763 -10
23781 28143 -10
8289 13331 -10
14412 27052 -10
14436 21875 -10
8309 36242 -10
23748 49843 -10
8318 9711 -10
2105 4862 -10
14404 27835 -10
8327 18149 -10
8337 13752 -10
23708 39583 -10
2095 2298 -10
8347 11093 -10
23703 24979 -10
23684 38938 -10
34972 43043 -10
8188 41274 -10
14482 21976 -10
8152 33703 -10
8158 46549 -10
2164 4544 -10
2163 4152 -10
14476 23842 -10
23914 33675 -10
2158 32812 -10
8178 48372 -10
34753 35373 -10
17842 22756 -10
23898 45184 -10
8184 35717 -10
8186 40753 -10
34481 38930 -10
23878 46466 -10
34774 47852 -10
2150 24851 -10
14455 17306 -10
14454 46442 -10
34783 43023 -10
14453 35137 -10
17852 17883 -10
8201 17861 -10
23866 39449 -10
23866 35244 -10
2145 48957 -10
23858 36314 -10
24478 48464 -10
24530 46376 -10
7693 17354 -10
2327 26758 -10
2326 10580 -10
34260 47755 -10
14699 20059 -10
17637 28546 -10
17641 43438 -10
34264 43409 -10
2320 4336 -10
7721 19819 -10
7722 12749 -10
2318 36910 -10
7736 27736 -10
7687 15302 -10
24477 31255 -10
7747 10884 -10
7750 16119 -10
24462 42081 -10
2303 42220 -10
7752 26215 -10
2302 12976 -10
2301 41007 -10
7762 18285 -10
24452 26062 -10
7771 17022 -10
24442 29114 -10
24441 47864 -10
24664 32670 -10
305 33795 -10
34110 38893 -10
7570 14963 -10
34120 48559 -10
24688 42804 -10
2376 20664 -10
43253 48609 -10
17605 26954 -10
7584 11723 -10
14741 49455 -10
14740 31826 -10
7589 46126 -10
2370 24289 -10
24668 38501 -10
17666 18925 -10
17612 17924 -10
7605 20747 -10
24655 40678 -10
7616 26910 -10
17616 44537 -10
24641 41772 -10
7623 12341 -10
24618 38282 -10
24602 34165 -10
24600 43962 -10
2347 11135 -10
24570 42753 -10
24553 41128 -10
2254 2327 -10
24328 24940 -10
17691 23277 -10
14634 45281 -10
24306 44000 -10
24306 45285 -10
335 29598 -10
17697 19635 -10
7878 12877 -10
336 40687 -10
24292 48030 -10
2254 8291 -10
337 451 -10
24291 42287 -10
14624 16412 -10
7860 36146 -10
2252 43081 -10
17702 18697 -10
338 48181 -10
34456 36142 -10
7906 25711 -10
7911 22156 -10
24255 30620 -10
34461 37521 -10
24253 31127 -10
7915 43284 -10
34470 46713 -10
7922 15633 -10
7924 14790 -10
24370 46580 -10
24436 31463 -10
43104 49689 -10
14662 37407 -10
2287 12196 -10
24414 27156 -10
7802 34526 -10
14661 14801 -10
24410 35488 -10
7805 49451 -10
34376 43869 -10
328 41832 -10
7822 36493 -10
14655 29441 -10
34388 39425 -10
17904 19314 -10
7830 43547 -10
7834 31986 -10
24362 31261 -10
2271 19910 -10
7847 34531 -10
7850 28856 -10
24342 37981 -10
17684 45968 -10
7854 48589 -10
24335 34746 -10
14640 31627 -10
7860 39607 -10
7860 37077 -10
18062 48210 -10
8924 32075 -10
23029 39699 -10
8927 44368 -10
14163 36682 -10
1903 48229 -10
434 3485 -10
1903 8323 -10
1903 7442 -10
8933 23455 -10
8934 43180 -10
8935 41379 -10
8936 48357 -10
1901 3800 -10
23010 36448 -10
23038 37378 -10
1900 10795 -10
1899 28143 -10
14147 47682 -10
42207 42688 -10
437 7087 -10
437 41876 -10
1891 7789 -10
1890 26116 -10
8975 22072 -10
440 7027 -10
8992 41838 -10
8995 38291 -10
42173 49144 -10
14193 24762 -10
8785 47351 -10
8787 21918 -10
23166 36154 -10
23159 24135 -10
8818 43748 -10
23136 29664 -10
424 23004 -10
23131 37713 -10
23125 24234 -10
8846 20906 -10
23108 23160 -10
18032 33764 -10
35505 49036 -10
18034 35990 -10
22940 49044 -10
18036 38646 -10
23089 34606 -10
23078 35253 -10
1921 16953 -10
23075 39084 -10
428 23921 -10
23072 47741 -10
8877 11924 -10
1916 20848 -10
8881 10663 -10
14175 40652 -10
8890 33670 -10
14172 46713 -10
9126 19580 -10
1851 48222 -10
1851 19644 -10
9087 20046 -10
9095 14791 -10
14096 14520 -10
9097 28985 -10
1842 14179 -10
1842 30656 -10
42127 43481 -10
9106 36413 -10
42114 43308 -10
9115 27889 -10
14084 30059 -10
22797 44134 -10
9072 30154 -10
22788 23058 -10
9133 26706 -10
1831 32562 -10
9136 46313 -10
22782 27756 -10
22779 28903 -10
1827 2673 -10
14071 17535 -10
35827 37079 -10
455 14404 -10
9144 18074 -10
455 3953 -10
455 9138 -10
22881 40014 -10
35656 44909 -10
441 26241 -10
22924 38210 -10
42171 42630 -10
22921 46286 -10
442 37341 -10
9009 10055 -10
18090 38963 -10
9015 19301 -10
22903 28333 -10
14117 31175 -10
9020 28202 -10
9025 9582 -10
18097 29829 -10
18013 22031 -10
35694 46534 -10
9040 29660 -10
35700 37925 -10
14110 44476 -10
9048 17037 -10
14106 34546 -10
9051 46125 -10
9053 46886 -10
449 3696 -10
1854 10588 -10
22862 34865 -10
9062 40255 -10
9070 10978 -10
2033 17516 -10
14341 15151 -10
35092 39330 -10
14335 35232 -10
23510 47374 -10
17941 33675 -10
14320 16152 -10
23492 33393 -10
2043 12482 -10
8516 31867 -10
35136 40123 -10
14307 46451 -10
8534 24341 -10
23451 27802 -10
8549 23106 -10
17928 18795 -10
35157 38787 -10
14302 29987 -10
8566 49218 -10
2028 6779 -10
8567 14543 -10
8570 47341 -10
14296 41274 -10
8572 46520 -10
35192 38112 -10
8592 9699 -10
8595 17986 -10
23377 43083 -10
2016 3551 -10
35026 47392 -10
17904 48320 -10
14380 47057 -10
8376 19064 -10
