Algorithm : Kruskal's MST
MST edges:
3881 4607 -10
5432 8931 -10
577 1590 -10
5446 9236 -10
571 1536 -10
1193 8451 -10
2891 3802 -10
5470 6666 -10
1806 4445 -10
5479 9194 -10
2360 4036 -10
3889 5606 -10
579 1584 -10
549 1892 -10
1813 9909 -10
2879 9441 -10
5524 7068 -10
5557 6283 -10
536 2128 -10
1827 2673 -10
5579 5779 -10
2866 3875 -10
525 735 -10
83 4994 -10
69 7914 -10
2933 7173 -10
627 6895 -10
66 1030 -10
2193 4694 -10
2928 6382 -10
5290 6265 -10
5300 6928 -10
8208 9131 -10
617 7699 -10
1774 8362 -10
615 1770 -10
8037 8780 -10
5346 6422 -10
72 2297 -10
5380 5383 -10
592 7766 -10
592 1968 -10
5391 9220 -10
2187 5446 -10
1792 6607 -10
1793 6624 -10
5404 7104 -10
2811 7029 -10
91 7503 -10
486 9014 -10
2819 8394 -10
5775 6585 -10
1218 1869 -10
5783 9836 -10
2170 2172 -10
2813 6747 -10
474 1212 -10
5793 7024 -10
473 8162 -10
488 5008 -10
2806 4315 -10
5824 6344 -10
96 1787 -10
5837 9451 -10
2795 7233 -10
3477 9472 -10
7929 8168 -10
456 4952 -10
1875 6724 -10
1324 1476 -10
5883 9949 -10
2373 4549 -10
2858 7082 -10
3858 6319 -10
2371 9931 -10
3858 9242 -10
518 2821 -10
517 4224 -10
515 3798 -10
1207 5838 -10
3853 9318 -10
5655 5990 -10
5665 6737 -10
2935 4961 -10
5668 7778 -10
2838 5320 -10
5675 9394 -10
503 9370 -10
2835 3035 -10
497 8260 -10
7989 8907 -10
494 4738 -10
492 9164 -10
2824 8191 -10
1155 5962 -10
8592 9699 -10
3060 7441 -10
757 2034 -10
755 2122 -10
8560 8647 -10
748 5839 -10
745 7613 -10
745 2028 -10
4925 6255 -10
2326 5854 -10
735 4137 -10
765 9120 -10
729 7719 -10
4960 9986 -10
3960 9270 -10
3019 5420 -10
50 152 -10
3018 3662 -10
4980 9013 -10
3015 3535 -10
1159 1403 -10
713 1352 -10
3008 7198 -10
8674 9387 -10
8726 9397 -10
1657 5566 -10
3983 5717 -10
39 277 -10
4771 7796 -10
799 2264 -10
3402 4316 -10
3090 9719 -10
1663 8149 -10
1664 5803 -10
3087 9296 -10
3587 6931 -10
4833 7856 -10
775 3269 -10
42 6153 -10
2211 3645 -10
1466 6049 -10
771 5489 -10
1674 9630 -10
3973 8430 -10
767 1243 -10
3070 3094 -10
2341 3271 -10
684 878 -10
2978 6359 -10
1336 9874 -10
5104 9388 -10
8318 9711 -10
59 1123 -10
668 896 -10
8283 8763 -10
662 1933 -10
659 1751 -10
1748 5412 -10
1731 7202 -10
5182 5391 -10
5190 5822 -10
1753 9696 -10
1334 3951 -10
1451 6538 -10
5202 7654 -10
646 1120 -10
1756 8631 -10
1756 5413 -10
3919 7281 -10
638 6851 -10
1723 3613 -10
3950 9491 -10
3006 3999 -10
5017 9283 -10
1721 1738 -10
3950 5751 -10
5027 9556 -10
2998 5875 -10
3947 8178 -10
2996 6057 -10
1162 1637 -10
54 4591 -10
5885 7652 -10
5059 9672 -10
2994 6054 -10
3943 6077 -10
56 2063 -10
3942 9576 -10
1725 4669 -10
5073 8720 -10
1727 3235 -10
8358 9203 -10
1729 6177 -10
251 2650 -10
2584 8396 -10
2021 4367 -10
2419 7684 -10
2582 5000 -10
265 2173 -10
2136 4245 -10
261 9846 -10
2028 6779 -10
6773 8277 -10
2423 5145 -10
2035 2776 -10
268 464 -10
250 331 -10
6816 9349 -10
247 7478 -10
2566 8810 -10
246 1610 -10
3533 8463 -10
3744 8670 -10
3744 7119 -10
2559 7307 -10
7589 8174 -10
2432 6691 -10
2008 5552 -10
1997 9708 -10
1998 2408 -10
288 7005 -10
6620 6898 -10
2142 9170 -10
287 438 -10
130 7746 -10
286 8242 -10
2001 2534 -10
2605 5205 -10
2602 3928 -10
2053 6121 -10
279 2477 -10
3756 5282 -10
1270 3349 -10
6690 8798 -10
2016 3551 -10
272 9736 -10
1397 5572 -10
6718 9037 -10
1273 3247 -10
3749 5605 -10
2105 4862 -10
2086 8315 -10
184 3883 -10
184 251 -10
2489 6797 -10
7269 8976 -10
2482 2676 -10
1385 7794 -10
3700 4701 -10
3713 8946 -10
7337 7387 -10
1382 4048 -10
3720 4964 -10
1382 1787 -10
7392 9571 -10
7473 9344 -10
7471 9667 -10
2108 4354 -10
152 9761 -10
2118 6402 -10
2464 4124 -10
7417 8305 -10
7456 9310 -10
2453 8685 -10
7049 8450 -10
3740 4032 -10
1392 5488 -10
6904 7228 -10
231 455 -10
2434 5343 -10
225 4793 -10
6945 9719 -10
6953 8305 -10
6954 9887 -10
1392 5111 -10
2065 2658 -10
1995 7656 -10
3724 7076 -10
7126 7798 -10
197 312 -10
2506 5061 -10
2501 4149 -10
1388 2342 -10
2500 5686 -10
2081 6668 -10
2125 2321 -10
1308 6684 -10
412 3868 -10
6029 8190 -10
417 4142 -10
1903 7442 -10
1903 8323 -10
6042 7763 -10
1418 9932 -10
416 2383 -10
6053 6898 -10
416 434 -10
2163 4152 -10
6062 6831 -10
1901 3800 -10
412 2855 -10
6068 7389 -10
7853 9795 -10
404 5614 -10
3808 3883 -10
3804 7550 -10
3486 7328 -10
109 2667 -10
7826 7965 -10
391 2966 -10
